symbol,baseCoin,quoteCoin,fundingInterval,launchTime
SIGNUSDT,SIGN,USDT,60,2025-04-28 11:09:23
SIRENUSDT,SIREN,USDT,240,2025-03-22 03:20:42
SKLUSDT,SKL,USDT,480,2022-03-22 08:29:48
SKYAIUSDT,SKYAI,USDT,240,2025-05-13 10:20:53
SLERFUSDT,SLERF,USDT,240,2024-03-18 11:25:01
SLFUSDT,SLF,USDT,480,2024-09-03 08:59:13
SLPUSDT,SLP,USDT,480,2021-11-17 16:00:00
SNTUSDT,SNT,USDT,240,2023-11-02 08:28:14
SNXUSDT,SNX,USDT,480,2021-12-13 01:01:18
SOLAYERUSDT,SOLAYER,USDT,60,2025-02-11 14:12:56
SOLOUSDT,SOLO,USDT,480,2024-12-26 07:56:52
SOLPERP,SOL,USDC,480,2022-08-05 00:00:00
SOLUSDT,SOL,USDT,480,2021-10-15 00:00:00
SOLVUSDT,SOLV,USDT,240,2025-01-17 10:21:51
SONICUSDT,SONIC,USDT,120,2025-01-07 12:24:55
SPECUSDT,SPEC,USDT,480,2024-05-27 07:59:55
SPELLUSDT,SPELL,USDT,480,2021-12-13 01:21:09
SPXUSDT,SPX,USDT,240,2024-10-29 06:31:37
SSVUSDT,SSV,USDT,480,2023-03-01 07:27:50
STEEMUSDT,STEEM,USDT,240,2023-10-25 06:29:42
STGUSDT,STG,USDT,480,2022-08-26 05:57:39
STORJUSDT,STORJ,USDT,480,2021-11-22 00:00:00
STOUSDT,STO,USDT,240,2025-04-16 09:28:55
STRKPERP,STRK,USDC,480,2024-05-08 07:59:41
STRKUSDT,STRK,USDT,240,2024-02-20 13:42:06
STXUSDT,STX,USDT,480,2021-11-30 07:59:43
SUIPERP,SUI,USDC,480,2024-04-26 09:37:30
SUIUSDT,SUI,USDT,480,2023-05-02 12:15:24
SUNDOGUSDT,SUNDOG,USDT,480,2024-08-26 07:28:46
SUNUSDT,SUN,USDT,240,2022-02-18 06:38:34
SUPERUSDT,SUPER,USDT,240,2023-11-23 06:16:26
SUSDT,S,USDT,240,2025-01-15 08:47:20
SUSHIUSDT,SUSHI,USDT,480,2021-11-30 00:00:00
SWARMSUSDT,SWARMS,USDT,240,2025-01-06 08:31:58
SWEATUSDT,SWEAT,USDT,240,2022-11-03 15:10:53
SWELLUSDT,SWELL,USDT,240,2024-11-07 10:19:24
SXPUSDT,SXP,USDT,480,2021-12-08 03:01:21
SXTUSDT,SXT,USDT,240,2025-05-03 06:12:15
SYNUSDT,SYN,USDT,240,2024-08-20 09:28:33
SYSUSDT,SYS,USDT,240,2024-08-20 09:31:20
TAIKOUSDT,TAIKO,USDT,480,2024-06-05 14:17:35
TAIUSDT,TAI,USDT,480,2024-11-14 07:55:15
TAOUSDT,TAO,USDT,240,2024-01-30 07:51:21
THETAUSDT,THETA,USDT,480,2021-08-12 00:00:00
THEUSDT,THE,USDT,240,2024-11-27 08:50:04
TIAPERP,TIA,USDC,480,2024-05-10 07:56:28
