symbol,baseCoin,quoteCoin,fundingInterval,launchTime
CHZUSDT,CHZ,USDT,480,2021-10-12 00:00:00
CKBUSDT,CKB,USDT,480,2022-02-15 04:59:08
CLANKERUSDT,CLANKER,USDT,240,2025-04-28 10:16:10
CLOUDUSDT,CLOUD,USDT,480,2024-07-19 09:28:08
COMPUSDT,COMP,USDT,480,2021-08-12 00:00:00
COOKIEUSDT,COOKIE,USDT,240,2025-01-07 07:32:59
COOKUSDT,COOK,USDT,480,2024-12-02 07:47:24
COREUSDT,CORE,USDT,480,2023-02-09 07:25:14
COSUSDT,COS,USDT,240,2024-05-09 09:01:03
COTIUSDT,COTI,USDT,480,2021-12-02 11:38:37
COWUSDT,COW,USDT,120,2024-11-08 10:06:41
CPOOLUSDT,CPOOL,USDT,240,2025-03-06 08:03:31
CROUSDT,CRO,USDT,480,2021-11-23 00:00:00
CRVPERP,CRV,USDC,240,2025-04-30 10:51:39
CRVUSDT,CRV,USDT,480,2021-10-25 00:00:00
CTCUSDT,CTC,USDT,240,2022-05-17 07:57:50
CTKUSDT,CTK,USDT,240,2021-12-02 11:34:07
CTSIUSDT,CTSI,USDT,480,2022-03-23 06:55:11
CVCUSDT,CVC,USDT,480,2021-11-30 15:20:51
CVXUSDT,CVX,USDT,240,2022-04-20 07:38:02
CYBERUSDT,CYBER,USDT,240,2023-08-15 18:26:55
DARKUSDT,DARK,USDT,240,2025-04-25 15:34:50
DASHUSDT,DASH,USDT,480,2021-10-12 00:00:00
DATAUSDT,DATA,USDT,480,2023-12-20 06:45:17
DBRUSDT,DBR,USDT,480,2024-10-17 10:42:10
DEEPUSDT,DEEP,USDT,480,2024-10-17 11:49:14
DEGENUSDT,DEGEN,USDT,240,2024-04-01 11:38:03
DENTUSDT,DENT,USDT,480,2022-01-13 10:15:28
DEXEUSDT,DEXE,USDT,240,2024-07-25 09:08:59
DGBUSDT,DGB,USDT,480,2022-03-28 07:25:31
DODOUSDT,DODO,USDT,240,2022-04-20 12:30:00
DOGEPERP,DOGE,USDC,480,2024-04-22 13:46:47
DOGEUSDT,DOGE,USDT,480,2021-06-02 10:44:00
DOGSUSDT,DOGS,USDT,240,2024-08-26 12:16:35
DOGUSDT,DOG,USDT,480,2024-06-04 09:58:40
DOODUSDT,DOOD,USDT,240,2025-05-09 13:20:33
DOTPERP,DOT,USDC,480,2024-11-28 09:24:25
DOTUSDT,DOT,USDT,480,2021-03-18 09:34:00
DRIFTUSDT,DRIFT,USDT,240,2024-05-21 09:32:48
DUCKUSDT,DUCK,USDT,240,2025-01-16 10:21:28
DUSKUSDT,DUSK,USDT,480,2021-12-16 16:45:30
DYDXUSDT,DYDX,USDT,480,2021-10-11 00:00:00
DYMUSDT,DYM,USDT,240,2024-02-07 02:36:50
EDUUSDT,EDU,USDT,480,2023-05-05 07:55:34
EGLDUSDT,EGLD,USDT,480,2021-11-22 16:00:00
EIGENUSDT,EIGEN,USDT,240,2024-08-06 03:43:33
ELXUSDT,ELX,USDT,240,2025-03-12 07:05:40
ENAPERP,ENA,USDC,480,2024-11-28 10:03:26
ENAUSDT,ENA,USDT,240,2024-04-02 09:42:46
ENJUSDT,ENJ,USDT,480,2021-10-31 16:00:00
ENSUSDT,ENS,USDT,480,2021-11-12 00:00:00
EOSUSDT,EOS,USDT,480,2021-06-29 06:59:00
EPICUSDT,EPIC,USDT,240,2025-03-14 08:18:01
EPTUSDT,EPT,USDT,240,2025-04-21 12:22:39
ETCPERP,ETC,USDC,480,2022-09-01 00:00:00
ETCUSDT,ETC,USDT,480,2021-06-29 07:04:00
ETHBTCUSDT,ETHBTC,USDT,480,2024-06-07 08:32:58
ETHFIPERP,ETHFI,USDC,480,2024-04-24 12:21:09
ETHFIUSDT,ETHFI,USDT,240,2024-03-18 13:16:43
ETHPERP,ETH,USDC,480,2022-08-05 00:00:00
ETHUSDT,ETH,USDT,480,2021-03-15 00:00:00
ETHWUSDT,ETHW,USDT,240,2022-09-16 00:00:00
FARTCOINUSDT,FARTCOIN,USDT,240,2024-12-20 08:37:27
FBUSDT,FB,USDT,480,2024-09-25 09:02:12
FHEUSDT,FHE,USDT,240,2025-04-16 09:28:20
FIDAUSDT,FIDA,USDT,240,2024-09-25 09:03:14
FILUSDT,FIL,USDT,480,2021-06-29 07:15:00
FIOUSDT,FIO,USDT,240,2024-09-26 06:06:25
FLMUSDT,FLM,USDT,240,2022-05-02 05:00:12
FLOCKUSDT,FLOCK,USDT,240,2025-01-09 08:50:07
FLOWUSDT,FLOW,USDT,480,2021-11-25 16:00:00
FLRUSDT,FLR,USDT,480,2023-03-16 07:58:28
FLUXUSDT,FLUX,USDT,240,2024-09-04 08:31:03
FORMUSDT,FORM,USDT,240,2025-03-19 09:56:07
FORTHUSDT,FORTH,USDT,480,2023-08-01 05:47:19
FOXYUSDT,FOXY,USDT,480,2024-04-12 10:10:05
FTNUSDT,FTN,USDT,480,2024-05-16 10:12:22
FUELUSDT,FUEL,USDT,240,2024-12-31 07:29:05
FUSDT,F,USDT,480,2024-12-06 10:18:12
FWOGUSDT,FWOG,USDT,480,2024-11-12 09:03:07
FXSUSDT,FXS,USDT,480,2022-04-04 04:00:20
GALAUSDT,GALA,USDT,480,2021-11-09 00:00:00
GASUSDT,GAS,USDT,120,2023-10-23 07:09:12
GIGAUSDT,GIGA,USDT,240,2024-12-12 07:42:26
GLMRUSDT,GLMR,USDT,480,2022-03-30 09:40:50
GLMUSDT,GLM,USDT,240,2023-08-10 04:57:59
GMTUSDT,GMT,USDT,480,2022-03-19 05:25:11
GMXUSDT,GMX,USDT,480,2022-10-10 07:06:10
GNOUSDT,GNO,USDT,480,2024-05-14 11:47:55
GOATUSDT,GOAT,USDT,240,2024-10-22 10:44:24
GODSUSDT,GODS,USDT,240,2023-11-22 05:02:21
GOMININGUSDT,GOMINING,USDT,480,2024-10-02 08:11:49
GORKUSDT,GORK,USDT,240,2025-05-05 10:26:58
GPSUSDT,GPS,USDT,240,2025-02-18 08:15:43
GRASSUSDT,GRASS,USDT,240,2024-10-15 10:12:03
GRIFFAINUSDT,GRIFFAIN,USDT,240,2024-12-20 08:39:59
GRTUSDT,GRT,USDT,480,2021-12-06 00:00:00
GTCUSDT,GTC,USDT,480,2021-11-29 00:00:00
GUNUSDT,GUN,USDT,240,2025-03-31 13:12:09
GUSDT,G,USDT,240,2024-07-25 09:07:16
HAEDALUSDT,HAEDAL,USDT,240,2025-04-30 11:29:53
HBARUSDT,HBAR,USDT,480,2021-10-25 00:00:00
HEIUSDT,HEI,USDT,240,2025-02-14 09:23:35
HFTUSDT,HFT,USDT,480,2023-03-14 06:45:49
HIFIUSDT,HIFI,USDT,240,2023-08-28 08:12:02
HIGHUSDT,HIGH,USDT,480,2023-02-07 08:42:50
HIPPOUSDT,HIPPO,USDT,240,2024-11-14 07:56:07
HIVEUSDT,HIVE,USDT,120,2024-12-23 10:34:00
HMSTRUSDT,HMSTR,USDT,240,2024-09-11 06:08:16
HNTUSDT,HNT,USDT,480,2022-01-24 06:47:20
HOOKUSDT,HOOK,USDT,480,2023-02-07 08:25:52
HOTUSDT,HOT,USDT,480,2022-03-28 06:49:16
HPOS10IUSDT,HPOS10I,USDT,480,2024-10-21 07:56:01
HYPEPERP,HYPE,USDC,240,2025-04-30 10:14:50
HYPERUSDT,HYPER,USDT,240,2025-04-22 12:07:07
HYPEUSDT,HYPE,USDT,480,2024-12-04 12:52:20
ICPUSDT,ICP,USDT,480,2021-09-15 00:00:00
ICXUSDT,ICX,USDT,480,2022-04-13 06:22:15
IDEXUSDT,IDEX,USDT,480,2023-05-23 06:10:36
IDUSDT,ID,USDT,480,2023-03-24 06:29:48
ILVUSDT,ILV,USDT,240,2021-11-26 00:00:00
IMXUSDT,IMX,USDT,240,2021-11-24 00:00:00
INITUSDT,INIT,USDT,240,2025-04-14 07:34:53
INJUSDT,INJ,USDT,480,2022-08-17 00:00:00
IOSTUSDT,IOST,USDT,480,2021-10-12 00:00:00
IOTAUSDT,IOTA,USDT,480,2021-12-29 10:16:33
IOTXUSDT,IOTX,USDT,480,2021-11-12 00:00:00
IOUSDT,IO,USDT,240,2024-06-11 13:49:00
IPUSDT,IP,USDT,120,2025-02-07 08:28:16
JASMYUSDT,JASMY,USDT,480,2022-01-19 06:36:42
