symbol,spotSymbol
ETCUSDT,ETCUSDT
ETHBTCUSDT,ETHBTCUSDT
ETHFIPERP,ETHFIUSDC
ETHFIUSDT,ETHFIUSDT
ETHPERP,ETHUSDC
ETHUSDT,ETHUSDT
ETHWUSDT,ETHWUSDT
FARTCOINUSDT,FARTCOINUSDT
FBUSDT,FBUSDT
FHEUSDT,FHEUSDT
FIDAUSDT,FIDAUSDT
FILUSDT,FILUSDT
FIOUSDT,FIOUSDT
FLMUSDT,FLMUSDT
FLOCKUSDT,FLOCKUSDT
FLOWUSDT,FLOWUSDT
FLRUSDT,FLRUSDT
FLUXUSDT,FLUXUSDT
FORMUSDT,FORMUSDT
FORTHUSDT,FORTHUSDT
FOXYUSDT,FOXYUSDT
FTNUSDT,FTNUSDT
FUELUSDT,FUELUSDT
FUSDT,FUSDT
FWOGUSDT,FWOGUSDT
FXSUSDT,FXSUSDT
GALAUSDT,GALAUSDT
GASUSDT,GASUSDT
GIGAUSDT,GIGAUSDT
GLMRUSDT,GLMRUSDT
GLMUSDT,GLMUSDT
GMTUSDT,GMTUSDT
GMXUSDT,GMXUSDT
GNOUSDT,GNOUSDT
GOATUSDT,GOATUSDT
GODSUSDT,GODSUSDT
GOMININGUSDT,GOMININGUSDT
GORKUSDT,GORKUSDT
GPSUSDT,GPSUSDT
GRASSUSDT,GRASSUSDT
GRIFFAINUSDT,GRIFFAINUSDT
GRTUSDT,GRTUSDT
GTCUSDT,GTCUSDT
GUNUSDT,GUNUSDT
GUSDT,GUSDT
HAEDALUSDT,HAEDALUSDT
HBARUSDT,HBARUSDT
HEIUSDT,HEIUSDT
HFTUSDT,HFTUSDT
HIFIUSDT,HIFIUSDT
HIGHUSDT,HIGHUSDT
HIPPOUSDT,HIPPOUSDT
HIVEUSDT,HIVEUSDT
HMSTRUSDT,HMSTRUSDT
HNTUSDT,HNTUSDT
HOOKUSDT,HOOKUSDT
HOTUSDT,HOTUSDT
HPOS10IUSDT,HPOS10IUSDT
HYPEPERP,HYPEUSDC
HYPERUSDT,HYPERUSDT
HYPEUSDT,HYPEUSDT
ICPUSDT,ICPUSDT
ICXUSDT,ICXUSDT
IDEXUSDT,IDEXUSDT
IDUSDT,IDUSDT
ILVUSDT,ILVUSDT
IMXUSDT,IMXUSDT
INITUSDT,INITUSDT
INJUSDT,INJUSDT
IOSTUSDT,IOSTUSDT
IOTAUSDT,IOTAUSDT
IOTXUSDT,IOTXUSDT
IOUSDT,IOUSDT
IPUSDT,IPUSDT
JASMYUSDT,JASMYUSDT
JELLYJELLYUSDT,JELLYJELLYUSDT
JOEUSDT,JOEUSDT
JSTUSDT,JSTUSDT
JTOUSDT,JTOUSDT
JUPUSDT,JUPUSDT
JUSDT,JUSDT
KAIAUSDT,KAIAUSDT
KAITOUSDT,KAITOUSDT
KASUSDT,KASUSDT
KAVAUSDT,KAVAUSDT
KDAUSDT,KDAUSDT
KERNELUSDT,KERNELUSDT
KMNOUSDT,KMNOUSDT
KNCUSDT,KNCUSDT
KOMAUSDT,KOMAUSDT
KSMUSDT,KSMUSDT
L3USDT,L3USDT
LAUNCHCOINUSDT,LAUNCHCOINUSDT
LDOUSDT,LDOUSDT
LEVERUSDT,LEVERUSDT
LINKPERP,LINKUSDC
LINKUSDT,LINKUSDT
LISTAUSDT,LISTAUSDT
LOOKSUSDT,LOOKSUSDT
LPTUSDT,LPTUSDT
LQTYUSDT,LQTYUSDT
LRCUSDT,LRCUSDT
LSKUSDT,LSKUSDT
LTCPERP,LTCUSDC
LTCUSDT,LTCUSDT
LUMIAUSDT,LUMIAUSDT
LUNA2USDT,LUNA2USDT
MAGICUSDT,MAGICUSDT
MAJORUSDT,MAJORUSDT
MANAUSDT,MANAUSDT
MANTAUSDT,MANTAUSDT
MASAUSDT,MASAUSDT
MASKUSDT,MASKUSDT
MAVIAUSDT,MAVIAUSDT
MAVUSDT,MAVUSDT
MBLUSDT,MBLUSDT
MBOXUSDT,MBOXUSDT
MDTUSDT,MDTUSDT
MELANIAUSDT,MELANIAUSDT
MEMEUSDT,MEMEUSDT
MERLUSDT,MERLUSDT
METISUSDT,METISUSDT
MEUSDT,MEUSDT
MEWUSDT,MEWUSDT
MICHIUSDT,MICHIUSDT
MILKUSDT,MILKUSDT
MINAUSDT,MINAUSDT
MKRUSDT,MKRUSDT
MLNUSDT,MLNUSDT
MNTPERP,MNTUSDC
MNTUSDT,MNTUSDT
MOBILEUSDT,MOBILEUSDT
MOCAUSDT,MOCAUSDT
MOODENGUSDT,MOODENGUSDT
MORPHOUSDT,MORPHOUSDT
MOVEUSDT,MOVEUSDT
MOVRUSDT,MOVRUSDT
MTLUSDT,MTLUSDT
MUBARAKUSDT,MUBARAKUSDT
MVLUSDT,MVLUSDT
MYRIAUSDT,MYRIAUSDT
MYROUSDT,MYROUSDT
NCUSDT,NCUSDT
NEARUSDT,NEARUSDT
NEIROETHUSDT,NEIROETHUSDT
NEOUSDT,NEOUSDT
NFPUSDT,NFPUSDT
NILUSDT,NILUSDT
NKNUSDT,NKNUSDT
NMRUSDT,NMRUSDT
NOTPERP,NOTUSDC
NOTUSDT,NOTUSDT
NSUSDT,NSUSDT
NTRNUSDT,NTRNUSDT
NXPCUSDT,NXPCUSDT
OBOLUSDT,OBOLUSDT
OBTUSDT,OBTUSDT
OGNUSDT,OGNUSDT
OGUSDT,OGUSDT
OLUSDT,OLUSDT
OMGUSDT,OMGUSDT
OMNIUSDT,OMNIUSDT
OMUSDT,OMUSDT
ONDOPERP,ONDOUSDC
ONDOUSDT,ONDOUSDT
ONEUSDT,ONEUSDT
ONGUSDT,ONGUSDT
ONTUSDT,ONTUSDT
OPPERP,OPUSDC
OPUSDT,OPUSDT
ORBSUSDT,ORBSUSDT
ORCAUSDT,ORCAUSDT
ORDERUSDT,ORDERUSDT
ORDIPERP,ORDIUSDC
ORDIUSDT,ORDIUSDT
OSMOUSDT,OSMOUSDT
OXTUSDT,OXTUSDT
PARTIUSDT,PARTIUSDT
PAXGUSDT,PAXGUSDT
PEAQUSDT,PEAQUSDT
PENDLEUSDT,PENDLEUSDT
PENGUUSDT,PENGUUSDT
PEOPLEUSDT,PEOPLEUSDT
PERPUSDT,PERPUSDT
PHAUSDT,PHAUSDT
PHBUSDT,PHBUSDT
PIPPINUSDT,PIPPINUSDT
PIXELUSDT,PIXELUSDT
PLUMEUSDT,PLUMEUSDT
PNUTUSDT,PNUTUSDT
POLPERP,POLUSDC
POLUSDT,POLUSDT
POLYXUSDT,POLYXUSDT
PONKEUSDT,PONKEUSDT
POPCATPERP,POPCATUSDC
POPCATUSDT,POPCATUSDT
PORTALUSDT,PORTALUSDT
POWRUSDT,POWRUSDT
PRCLUSDT,PRCLUSDT
PRIMEUSDT,PRIMEUSDT
PROMPTUSDT,PROMPTUSDT
PROMUSDT,PROMUSDT
PUFFERUSDT,PUFFERUSDT
PUMPUSDT,PUMPUSDT
PUNDIXUSDT,PUNDIXUSDT
PYRUSDT,PYRUSDT
PYTHUSDT,PYTHUSDT
QIUSDT,QIUSDT
QNTUSDT,QNTUSDT
QTUMUSDT,QTUMUSDT
QUICKUSDT,QUICKUSDT
RADUSDT,RADUSDT
RAREUSDT,RAREUSDT
RAYDIUMUSDT,RAYDIUMUSDT
RDNTUSDT,RDNTUSDT
REDUSDT,REDUSDT
RENDERUSDT,RENDERUSDT
REQUSDT,REQUSDT
REXUSDT,REXUSDT
REZUSDT,REZUSDT
RFCUSDT,RFCUSDT
RIFUSDT,RIFUSDT
RLCUSDT,RLCUSDT
ROAMUSDT,ROAMUSDT
RONINUSDT,RONINUSDT
ROSEUSDT,ROSEUSDT
RPLUSDT,RPLUSDT
RSRUSDT,RSRUSDT
RSS3USDT,RSS3USDT
RUNEUSDT,RUNEUSDT
RVNUSDT,RVNUSDT
SAFEUSDT,SAFEUSDT
SAGAUSDT,SAGAUSDT
SANDUSDT,SANDUSDT
SCAUSDT,SCAUSDT
SCRTUSDT,SCRTUSDT
SCRUSDT,SCRUSDT
SCUSDT,SCUSDT
SDUSDT,SDUSDT
SEIUSDT,SEIUSDT
SENDUSDT,SENDUSDT
SERAPHUSDT,SERAPHUSDT
SFPUSDT,SFPUSDT
SHELLUSDT,SHELLUSDT
SHIB1000PERP,SHIB1000USDC
