date,mean_rate,normalized_mean_rate,symbol_count,rolling_avg,rolling_std,rolling_min,rolling_max,future_avg,future_std,future_min,future_max
2024-01-07 00:00:00+0000,3.545438518518518e-05,0.0001215423555555556,225,0.0006808870104633782,0.0007383262938441419,-1.170537777777773e-05,0.0020641275784753364,0.00013331165079365085,0.0002211550867556905,-0.00023996831111111104,0.0003560537333333334
2024-01-14 00:00:00+0000,7.866967407407408e-05,0.0002636135555555556,225,0.00013331165079365077,0.00022115508675569131,-0.00023996831111111104,0.0003560537333333334,6.259271919455165e-05,0.00040822241412380233,-0.000730078558951965,0.0003970408849557522
2024-01-21 00:00:00+0000,-1.3432416302765646e-05,-0.00024687991266375537,229,6.259271919455161e-05,0.0004082224141238028,-0.000730078558951965,0.0003970408849557522,-9.03220990569275e-06,0.00031740872798282716,-0.0005520064935064936,0.00025986064935064936
2024-01-28 00:00:00+0000,7.336275613275613e-05,0.00025986064935064936,231,-9.03220990569281e-06,0.0003174087279828278,-0.0005520064935064936,0.00025986064935064936,0.0003414660703042169,4.377040174595951e-05,0.0002801575757575758,0.0004225181196581197
2024-02-04 00:00:00+0000,7.685726495726496e-05,0.00031057269230769236,234,0.00034146607030421683,4.3770401745962983e-05,0.0002801575757575758,0.0004225181196581197,0.0002222679671168225,0.0001189711132974353,2.7457130801687805e-05,0.0003991036286919831
2024-02-11 00:00:00+0000,9.02243741209564e-05,0.0003991036286919831,237,0.00022226796711682248,0.00011897111329743666,2.7457130801687805e-05,0.0003991036286919831,0.0007790558890898131,0.00033640065993292996,0.0004158304219409283,0.00120926223628692
2024-02-18 00:00:00+0000,0.00024520912095639944,0.0009725995780590717,237,0.0007790558890898131,0.0003364006599329302,0.0004158304219409283,0.00120926223628692,0.0008250685182641406,0.0004574239840119322,4.271620833333327e-05,0.0014504989029535864
2024-02-25 00:00:00+0000,0.0001916137986111111,0.0007326637916666666,240,0.0008250685182641405,0.00045742398401193247,4.271620833333327e-05,0.0014504989029535864,0.002519410061497662,0.0007779053288318523,0.0015675303333333333,0.003715802396694215
2024-03-03 00:00:00+0000,0.0008482487052341598,0.003472623760330578,242,0.002519410061497662,0.0007779053288318518,0.0015675303333333333,0.003715802396694215,0.0031046304899645808,0.0012540876749253037,0.0010148927272727272,0.004643240454545454
2024-03-10 00:00:00+0000,0.0008990024104683196,0.00372430694214876,242,0.0031046304899645808,0.0012540876749253032,0.0010148927272727272,0.004643240454545454,0.0022021997237607013,0.0010672926349797867,0.0005751140650406504,0.003407366367346939
2024-03-17 00:00:00+0000,0.00013530988482384824,0.0005751140650406504,246,0.0022021997237607013,0.0010672926349797876,0.0005751140650406504,0.003407366367346939,0.0005560352839931153,0.00016292420867615378,0.0003353881526104418,0.0008411552208835342
2024-03-24 00:00:00+0000,0.0001567923360107095,0.0006525599196787148,249,0.0005560352839931153,0.00016292420867617077,0.0003353881526104418,0.0008411552208835342,0.0018772204924612736,0.0005817354794997935,0.0009798330120481928,0.0025354402
2024-03-31 00:00:00+0000,0.0006046184333333333,0.0025354402,250,0.0018772204924612738,0.0005817354794997962,0.0009798330120481928,0.0025354402,0.0008436095730149769,0.0006395063698125639,0.00044336636363636364,0.0022722438095238097
2024-04-07 00:00:00+0000,0.0001628265744400527,0.0006931674703557312,253,0.0008436095730149769,0.0006395063698125672,0.00044336636363636364,0.0022722438095238097,0.0003467897801717182,0.0006394679121612258,-0.0006311318823529412,0.0011103870472440945
2024-04-14 00:00:00+0000,-0.00014809632679738563,-0.0006311318823529412,255,0.00034678978017171826,0.0006394679121612293,-0.0006311318823529412,0.0011103870472440945,-4.392544554521709e-05,9.422338600054759e-05,-0.00017601656249999998,7.760360784313727e-05
2024-04-21 00:00:00+0000,1.8923540856031133e-05,1.1460272373540887e-05,257,-4.392544554521709e-05,9.422338600057196e-05,-0.00017601656249999998,7.760360784313727e-05,-0.00010157208440449497,0.0002715171005489263,-0.0006255407142857143,0.00013550569767441863
2024-04-28 00:00:00+0000,-4.902499999999999e-05,-0.000276911954887218,266,-0.00010157208440449497,0.00027151710054893483,-0.0006255407142857143,0.00013550569767441863,0.0001545556286784377,9.315153781047853e-05,1.4748614232209749e-05,0.00028030400749063674
2024-05-05 00:00:00+0000,6.110832709113608e-05,0.0002226006741573034,267,0.0001545556286784377,9.315153781050276e-05,1.4748614232209749e-05,0.00028030400749063674,0.0001996713977225494,0.0001588537103181592,-0.00014293661764705885,0.0003154429962546817
2024-05-12 00:00:00+0000,-1.0001881127450975e-05,-0.00014293661764705885,272,0.0001996713977225494,0.00015885371031817334,-0.00014293661764705885,0.0003154429962546817,0.00018792384942661593,0.00011566089146417218,2.5850729927007676e-06,0.00034991910394265236
2024-05-19 00:00:00+0000,6.958547192353644e-05,0.0002509351612903226,279,0.00018792384942661593,0.00011566089146419161,2.5850729927007676e-06,0.00034991910394265236,0.00036900601733258265,0.0001025791239085776,0.00018395975088967976,0.00043933868327402135
2024-05-26 00:00:00+0000,0.00010575098457888494,0.000437411565836299,281,0.00036900601733258265,0.00010257912390859907,0.00018395975088967976,0.00043933868327402135,0.0003397905827718989,0.00019663367344639228,5.8719829787234047e-05,0.0005365929929577465
2024-06-02 00:00:00+0000,0.00012768323943661972,0.0005365929929577465,284,0.00033979058277189896,0.00019663367344640358,5.8719829787234047e-05,0.0005365929929577465,0.000529020076311367,0.00015510898275480762,0.0003261433910034602,0.0007108435888501742
