rebalance_date,symbol,spot_symbol,linear_data_available,spot_data_available,both_available,linear_price_available,spot_price_available,prices_available,entry_timestamp,linear_price,spot_price,avg_funding_rate
2025-01-01 00:00:00+00:00,FARTCOINUSDT,FARTCOINUSDT,True,False,False,True,False,False,2025-01-01 00:00:00+00:00,0.9965,,139.08199857142858
2025-01-01 00:00:00+00:00,GRIFFAINUSDT,GRIFFAINUSDT,True,False,False,True,False,False,2025-01-01 00:00:00+00:00,0.37569,,85.50114571428571
2025-01-01 00:00:00+00:00,AIXBTUSDT,AIXBTUSDT,True,True,True,True,False,False,2025-01-01 00:00:00+00:00,0.6334,,84.14063428571428
2025-01-01 00:00:00+00:00,HIPPOUSDT,HIPPOUSDT,True,False,False,True,False,False,2025-01-01 00:00:00+00:00,0.00945,,83.16983857142857
2025-01-01 00:00:00+00:00,1000MUMUUSDT,MUMUUSDT,True,False,False,True,False,False,2025-01-01 00:00:00+00:00,0.027922,,78.47849357142857
2025-01-08 00:00:00+00:00,COWUSDT,COWUSDT,True,False,False,True,False,False,2025-01-08 00:00:00+00:00,0.7935,,43.8
2025-01-08 00:00:00+00:00,SWARMSUSDT,SWARMSUSDT,True,False,False,True,False,False,2025-01-08 00:00:00+00:00,0.44447,,43.57881
2025-01-08 00:00:00+00:00,MAGICUSDT,MAGICUSDT,True,True,True,True,True,True,2025-01-08 00:00:00+00:00,0.5416,0.5423,42.33687142857143
2025-01-08 00:00:00+00:00,FARTCOINUSDT,FARTCOINUSDT,True,False,False,True,False,False,2025-01-08 00:00:00+00:00,1.0935,,39.93152142857143
2025-01-08 00:00:00+00:00,ORCAUSDT,ORCAUSDT,True,False,False,True,False,False,2025-01-08 00:00:00+00:00,3.821,,37.59625142857143
2025-01-15 00:00:00+00:00,MELANIAUSDT,MELANIAUSDT,True,False,False,False,False,False,2025-01-15 00:00:00+00:00,,,172.38409800000002
2025-01-15 00:00:00+00:00,HYPEUSDT,HYPEUSDT,True,False,False,True,False,False,2025-01-15 00:00:00+00:00,22.936,,61.506254285714284
2025-01-15 00:00:00+00:00,GRIFFAINUSDT,GRIFFAINUSDT,True,False,False,True,False,False,2025-01-15 00:00:00+00:00,0.44268,,52.41087142857142
2025-01-15 00:00:00+00:00,PAXGUSDT,PAXGUSDT,True,True,True,True,True,True,2025-01-15 00:00:00+00:00,2676.0,2676.0,47.792161428571426
2025-01-22 00:00:00+00:00,HYPEUSDT,HYPEUSDT,True,False,False,True,False,False,2025-01-22 00:00:00+00:00,24.065,,39.57642857142857
2025-01-22 00:00:00+00:00,RAYDIUMUSDT,RAYDIUMUSDT,True,False,False,True,False,False,2025-01-22 00:00:00+00:00,7.6658,,30.63267714285714
2025-01-29 00:00:00+00:00,RAYDIUMUSDT,RAYDIUMUSDT,True,False,False,True,False,False,2025-01-29 00:00:00+00:00,6.7429,,35.62274857142857
2025-01-29 00:00:00+00:00,PIPPINUSDT,PIPPINUSDT,True,False,False,True,False,False,2025-01-29 00:00:00+00:00,0.07651,,31.299375714285713
2025-02-19 00:00:00+00:00,SOLAYERUSDT,SOLAYERUSDT,True,False,False,True,False,False,2025-02-19 00:00:00+00:00,0.6264,,134.21248142857144
2025-02-19 00:00:00+00:00,RAYDIUMUSDT,RAYDIUMUSDT,True,False,False,True,False,False,2025-02-19 00:00:00+00:00,4.1968,,76.3797957142857
2025-02-19 00:00:00+00:00,NEIROETHUSDT,NEIROETHUSDT,True,False,False,True,False,False,2025-02-19 00:00:00+00:00,0.01801,,50.56178142857142
2025-02-19 00:00:00+00:00,TAOUSDT,TAOUSDT,True,False,False,True,False,False,2025-02-19 00:00:00+00:00,376.88,,42.867737857142856
2025-02-19 00:00:00+00:00,MAGICUSDT,MAGICUSDT,True,True,True,True,True,True,2025-02-19 00:00:00+00:00,0.2348,0.2361,41.842974285714284
2025-02-26 00:00:00+00:00,FBUSDT,FBUSDT,True,True,True,True,True,True,2025-02-26 00:00:00+00:00,1.149,0.5581,34.31797785714286
2025-03-19 00:00:00+00:00,MAGICUSDT,MAGICUSDT,True,True,True,True,True,True,2025-03-19 00:00:00+00:00,0.1517,0.1516,41.53825142857143
