date,period,starting_capital,symbols_selected,symbols_with_data,total_symbols_evaluated,trading_costs,realized_pnl,portfolio_value,active_positions,active_symbols,allocation_per_symbol,cumulative_funding_pnl,cumulative_realized_pnl,cumulative_trading_costs
2025-01-01 00:00:00+00:00,1/19,1000.0,0,1,5,0.0,0.0,1000.0,0,[],0.0,0.0,0.0,0.0
2025-01-08 00:00:00+00:00,2/19,1000.0,1,1,5,0.9,0.0,1000.0,1,['MAGICUSDT'],1000.0,0.0,0.0,0.9
2025-01-15 00:00:00+00:00,3/19,1001.4148252857992,1,1,5,0.9012733427572193,0.0,1001.4148252857992,2,"['MAGICUSDT', 'PAXGUSDT']",1001.4148252857992,2.0298500000000006,0.0,1.8012733427572192
2025-01-22 00:00:00+00:00,4/19,1006.739347760699,0,0,3,0.9245124536130669,-0.3742207867286247,1006.739347760699,1,['MAGICUSDT'],0.0,8.719143875468012,-0.3742207867286247,2.7257857963702863
2025-01-29 00:00:00+00:00,5/19,1007.998444916875,0,0,2,0.5287568424711095,0.7276913719696836,1007.998444916875,0,[],0.0,10.737533875468005,0.3534705852410589,3.2545426388413956
2025-02-19 00:00:00+00:00,8/19,1007.8364618218677,1,1,5,0.9070528156396809,0.0,1007.8364618218677,1,['MAGICUSDT'],1007.8364618218677,10.737533875468005,0.3534705852410589,4.161595454481077
2025-02-26 00:00:00+00:00,9/19,1007.9531225362967,1,1,2,0.9071578102826671,0.0,1007.9531225362967,2,"['MAGICUSDT', 'FBUSDT']",1007.9531225362967,12.75942515008118,0.3534705852410589,5.068753264763744
2025-03-05 00:00:00+00:00,10/19,1021.4461755667103,0,0,1,0.9024206937798855,5.263462780868395,1021.4461755667103,1,['MAGICUSDT'],0.0,21.509755434473423,5.616933366109454,5.97117395854363
2025-03-19 00:00:00+00:00,12/19,1022.0938180652256,1,1,1,0.9198844362587031,0.0,1022.0938180652256,1,['MAGICUSDT'],1022.0938180652256,23.44914521632186,4.615846807447487,6.891058394802332
2025-03-26 00:00:00+00:00,13/19,1024.5459038420493,0,0,1,0.0,0.0,1024.5459038420493,1,['MAGICUSDT'],0.0,25.48470638062781,4.615846807447487,6.891058394802332
2025-04-09 00:00:00+00:00,15/19,995.7598631348202,1,1,2,0.8961838768213382,0.0,995.7598631348202,1,['MAGICUSDT'],995.7598631348202,27.107638049642656,-24.456716520020105,7.78724227162367
2025-04-16 00:00:00+00:00,16/19,1015.2158579595293,0,0,1,0.9138458948316858,19.624464455941666,1015.2158579595293,0,[],0.0,28.562184312118216,-4.832252064078439,8.701088166455357
2025-04-23 00:00:00+00:00,17/19,1015.0288440815843,0,0,5,0.0,0.0,1015.0288440815843,0,[],0.0,28.562184312118216,-4.832252064078439,8.701088166455357
2025-04-30 00:00:00+00:00,18/19,1015.0288440815843,0,0,3,0.0,0.0,1015.0288440815843,0,[],0.0,28.562184312118216,-4.832252064078439,8.701088166455357
2025-05-07 00:00:00+00:00,19/19,1015.0288440815843,0,1,5,0.0,0.0,1015.0288440815843,0,[],0.0,28.562184312118216,-4.832252064078439,8.701088166455357
