timestamp,portfolio_value,funding_pnl,trading_pnl,trading_costs,period_return,cumulative_return,cum_funding_pnl,cum_trading_costs,cum_trading_pnl,total_pnl,peak,drawdown
2023-01-01 00:00:00+00:00,999.3399475,-0.6600525,0.0,0.0,-0.0006600525000000062,-0.0006600525000000079,-0.6600525,0.0,0.0,-0.6600525,999.3399475,0.0
2023-01-01 01:00:00+00:00,999.3399475,0.0,0.0,0.0,0.0,-0.0006600525000000079,-0.6600525,0.0,0.0,-0.6600525,999.3399475,0.0
2023-01-01 02:00:00+00:00,999.3399475,0.0,0.0,0.0,0.0,-0.0006600525000000079,-0.6600525,0.0,0.0,-0.6600525,999.3399475,0.0
2023-01-01 03:00:00+00:00,999.3399475,0.0,0.0,0.0,0.0,-0.0006600525000000079,-0.6600525,0.0,0.0,-0.6600525,999.3399475,0.0
2023-01-01 04:00:00+00:00,999.3399475,0.0,0.0,0.0,0.0,-0.0006600525000000079,-0.6600525,0.0,0.0,-0.6600525,999.3399475,0.0
2023-01-01 05:00:00+00:00,999.3399475,0.0,0.0,0.0,0.0,-0.0006600525000000079,-0.6600525,0.0,0.0,-0.6600525,999.3399475,0.0
2023-01-01 06:00:00+00:00,999.3399475,0.0,0.0,0.0,0.0,-0.0006600525000000079,-0.6600525,0.0,0.0,-0.6600525,999.3399475,0.0
2023-01-01 07:00:00+00:00,999.3399475,0.0,0.0,0.0,0.0,-0.0006600525000000079,-0.6600525,0.0,0.0,-0.6600525,999.3399475,0.0
2023-01-01 08:00:00+00:00,999.49882,0.1588725,0.0,0.0,0.0001589774334525007,-0.0005011799999998789,-0.5011800000000001,0.0,0.0,-0.5011800000000001,999.49882,0.0
2023-01-01 09:00:00+00:00,999.49882,0.0,0.0,0.0,0.0,-0.0005011799999998789,-0.5011800000000001,0.0,0.0,-0.5011800000000001,999.49882,0.0
2023-01-01 10:00:00+00:00,999.49882,0.0,0.0,0.0,0.0,-0.0005011799999998789,-0.5011800000000001,0.0,0.0,-0.5011800000000001,999.49882,0.0
2023-01-01 11:00:00+00:00,999.49882,0.0,0.0,0.0,0.0,-0.0005011799999998789,-0.5011800000000001,0.0,0.0,-0.5011800000000001,999.49882,0.0
2023-01-01 12:00:00+00:00,999.49882,0.0,0.0,0.0,0.0,-0.0005011799999998789,-0.5011800000000001,0.0,0.0,-0.5011800000000001,999.49882,0.0
2023-01-01 13:00:00+00:00,999.49882,0.0,0.0,0.0,0.0,-0.0005011799999998789,-0.5011800000000001,0.0,0.0,-0.5011800000000001,999.49882,0.0
2023-01-01 14:00:00+00:00,999.49882,0.0,0.0,0.0,0.0,-0.0005011799999998789,-0.5011800000000001,0.0,0.0,-0.5011800000000001,999.49882,0.0
2023-01-01 15:00:00+00:00,999.49882,0.0,0.0,0.0,0.0,-0.0005011799999998789,-0.5011800000000001,0.0,0.0,-0.5011800000000001,999.49882,0.0
2023-01-01 16:00:00+00:00,999.70766,0.20884,0.0,0.0,0.00020894471891419464,-0.000292339999999891,-0.29234000000000004,0.0,0.0,-0.29234000000000004,999.70766,0.0
2023-01-01 17:00:00+00:00,999.70766,0.0,0.0,0.0,0.0,-0.000292339999999891,-0.29234000000000004,0.0,0.0,-0.29234000000000004,999.70766,0.0
2023-01-01 18:00:00+00:00,999.70766,0.0,0.0,0.0,0.0,-0.000292339999999891,-0.29234000000000004,0.0,0.0,-0.29234000000000004,999.70766,0.0
2023-01-01 19:00:00+00:00,999.70766,0.0,0.0,0.0,0.0,-0.000292339999999891,-0.29234000000000004,0.0,0.0,-0.29234000000000004,999.70766,0.0
