symbol,funding_interval_minutes,funding_events_per_day,mean_rate_per_interval,mean_abs_rate_per_interval,std_rate_per_interval,mean_daily_rate,mean_daily_abs_rate,std_daily_rate,max_abs_rate,max_daily_abs_rate,count,positive_count,negative_count,positive_pct,mean_positive,mean_negative,first_date,last_date,max_timestamp,max_rate_value,sharpe_ratio,annual_return
1000CATUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
1000FLOKIUSDT,480,3.0,0.0099691875,0.0099691875,0.0001232500000000002,0.029907562500000005,0.029907562500000005,0.000369750000000001,0.01,0.030000000000000002,16,16,0,100.0,0.0099691875,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,80.88590263691664,11.532549094546418
1000LUNCUSDT,480,3.0,0.006895562500000001,0.0100676875,0.008856632091028358,0.020686687500000002,0.0302030625,0.026569896273085074,0.025377,0.076131,16,15,1,93.75,0.009047066666666666,-0.025377,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 08:00:00+00:00,-0.025377,1.1367399477052258,7.842171853525626
1000MUMUUSDT,480,3.0,0.016392375,0.016392375,0.020051476460600102,0.04917712500000001,0.04917712500000001,0.06015442938180031,0.088105,0.26431499999999997,16,16,0,100.0,0.016392375,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-12 16:00:00+00:00,0.088105,0.8175146120641038,19.656192853905985
1000NEIROCTOUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
1000PEPEPERP,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,16,16,0,100.0,0.01,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,0.0,11.570174904772411
1000PEPEUSDT,480,3.0,0.009213062499999999,0.0095369375,0.0031477500000000004,0.027639187500000006,0.028610812500000003,0.009443250000000002,0.01,0.030000000000000002,16,15,1,93.75,0.010000000000000002,-0.002591,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,3.0297633230084977,10.613183444943331
1000RATSUSDT,240,6.0,0.00954153125,0.00954153125,0.008389480509828863,0.05724918750000001,0.05724918750000001,0.050336883058973186,0.036296,0.217776,32,32,0,100.0,0.00954153125,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 16:00:00+00:00,0.036296,1.1373208673435058,23.232144394916187
1000TOSHIUSDT,240,6.0,-0.005243343749999999,0.014618343750000002,0.056026422743149985,-0.03146006249999999,0.08771006250000002,0.33615853645889987,0.31209800000000004,1.872588,32,30,2,93.75,0.004999999999999999,-0.15889350000000002,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,-0.31209800000000004,0.260918742162372,-10.8497729265277
1000TURBOUSDT,240,6.0,0.004909843749999999,0.004909843749999999,0.0005100007659307974,0.029459062500000008,0.029459062500000008,0.003060004595584785,0.005,0.030000000000000002,32,32,0,100.0,0.004909843749999999,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,9.627130149577507,11.35017097871276
