symbol,funding_interval_minutes,funding_events_per_day,mean_rate_per_interval,mean_abs_rate_per_interval,std_rate_per_interval,mean_daily_rate,mean_daily_abs_rate,std_daily_rate,max_abs_rate,count,positive_count,negative_count,positive_pct,mean_positive,mean_negative,first_date,last_date,sharpe_ratio,annual_return
1000NEIROCTOUSDT,240,6.0,0.01700064656212304,0.017987162846803382,0.02832557911503709,0.10200387937273826,0.10792297708082027,0.16995347469022257,0.22347999999999998,829,801,28,96.62243667068758,0.018105426966292137,-0.014603964285714286,2024-09-16 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.6350148314268569,45.08134531426982
1000PEPEPERP,480,3.0,0.010573326424870468,0.011312124352331606,0.010825536908269272,0.0317199792746114,0.03393637305699482,0.03247661072480782,0.161156,1158,1142,16,98.61830742659758,0.011096038528896674,-0.026735250000000002,2024-04-25 08:00:00+00:00,2025-05-16 00:00:00+00:00,1.0449481118752313,12.272589805183909
1000PEPEUSDT,480,3.0,0.01648047539893617,0.017960693484042556,0.026426754655465224,0.04944142619680851,0.05388208045212766,0.07928026396639566,0.23739999999999997,1504,1364,140,90.69148936170212,0.018988093108504397,-0.007950885714285713,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.6796405278742075,19.771623858534394
1000RATSUSDT,240,6.0,0.01705308735262594,0.01750014308681672,0.029335042789395013,0.10231852411575564,0.10500085852090033,0.17601025673637005,0.262502,1866,1821,45,97.58842443729904,0.01770354969796815,-0.009268955555555554,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.5965610213169092,45.24788993789342
1000TOSHIUSDT,240,6.0,-0.08839954534313726,0.09751241789215685,0.3446493274741312,-0.5303972720588235,0.5850745073529412,2.067895964844787,4.0,816,517,299,63.357843137254896,0.007191589941972922,-0.25368588963210703,2024-12-05 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.2829322738181637,-85.64543796958041
1000TURBOUSDT,240,6.0,0.0119848355493352,0.01978687753673898,0.03742660472250816,0.07190901329601121,0.11872126522043389,0.22455962833504892,0.392299,1429,1306,123,91.3925822253324,0.017381997702909647,-0.04532161788617886,2024-02-29 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.5286848134754597,30.001210336891248
1000XECUSDT,480,3.0,0.009540043218085109,0.017886081781914896,0.028964286130716273,0.028620129654255318,0.053658245345744676,0.08689285839214883,0.361413,1504,1274,230,84.70744680851064,0.01618873312401884,-0.02728791739130435,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.6175219268721046,11.009825264009665
1000XUSDT,240,6.0,0.0012129649845520067,0.013996794026776518,0.05659014129737178,0.007277789907312052,0.08398076416065911,0.3395408477842308,0.997635,971,888,83,91.45211122554068,0.008315695945945946,-0.07477769879518072,2024-10-25 08:00:00+00:00,2025-05-16 00:00:00+00:00,0.2473362622161639,2.691890679233211
1INCHUSDT,480,3.0,0.011768285239361702,0.01365777061170213,0.016679972466647302,0.03530485571808511,0.04097331183510638,0.050039917399941895,0.157886,1504,1364,140,90.69148936170212,0.014017884164222876,-0.010149235714285713,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.8188125393499142,13.750808706369444
A8USDT,240,6.0,-0.018254469371519488,0.033093379474940336,0.1704138078044303,-0.10952681622911693,0.19856027684964206,1.0224828468265819,2.2863379999999998,1257,1115,142,88.70326173428799,0.008364354260089689,-0.22726847183098592,2024-07-22 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.19419423755215218,-32.96745702529509
