symbol,funding_interval_minutes,funding_events_per_day,mean_rate_per_interval,mean_abs_rate_per_interval,std_rate_per_interval,mean_daily_rate,mean_daily_abs_rate,std_daily_rate,max_abs_rate,max_daily_abs_rate,count,positive_count,negative_count,positive_pct,mean_positive,mean_negative,first_date,last_date,max_timestamp,max_rate_value,sharpe_ratio,annual_return
1000000BABYDOGEUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
1000000CHEEMSUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
1000000MOGUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
1000000PEIPEIUSDT,480,3.0,0.030722250000000003,0.030722250000000003,0.0414445,0.09216675,0.09216675,0.12433350000000001,0.092889,0.278667,4,4,0,100.0,0.030722250000000003,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.092889,0.7412865398303755,39.969408808868565
10000COQUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,4,4,0,100.0,0.01,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.0,11.570174904772411
10000ELONUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
10000LADYSUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,4,4,0,100.0,0.01,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.0,11.570174904772411
10000QUBICUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,4,4,0,100.0,0.01,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.0,11.570174904772411
10000SATSUSDT,240,6.0,-0.007370625,0.014870625,0.032751648093482036,-0.04422374999999999,0.08922375,0.19650988856089224,0.088277,0.529662,8,6,2,75.0,0.005,-0.0444825,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 04:00:00+00:00,-0.088277,0.4540420365276039,-14.909295805522193
10000WENUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,4,4,0,100.0,0.01,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.0,11.570174904772411
10000WHYUSDT,240,6.0,0.009613625,0.009613625,0.013049302093407142,0.057681750000000004,0.057681750000000004,0.07829581256044285,0.041909,0.251454,8,8,0,100.0,0.009613625,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.041909,0.73671564434523,23.426751606946404
1000APUUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,4,4,0,100.0,0.01,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.0,11.570174904772411
1000BONKPERP,480,3.0,0.0038822499999999994,0.008280749999999998,0.008678873482005984,0.01164675,0.02484225,0.02603662044601795,0.01,0.030000000000000002,4,3,1,75.0,0.008108666666666665,-0.008797,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.9541272858935647,4.342457291467405
1000BONKUSDT,240,6.0,0.0017388750000000002,0.004699875,0.005141004916703681,0.010433250000000002,0.028199250000000002,0.030846029500222093,0.008519,0.051114,8,6,2,75.0,0.0042925,-0.005922,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 04:00:00+00:00,-0.008519,0.9141938348920067,3.8813686560494
1000BTTUSDT,480,3.0,-0.063255,0.06743500000000001,0.05516148867340934,-0.18976500000000002,0.202305,0.165484466020228,0.126138,0.37841400000000003,4,1,3,25.0,0.00836,-0.08712666666666667,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 16:00:00+00:00,-0.126138,1.2225014520412523,-50.00765433040368
1000CATSUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,4,4,0,100.0,0.01,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.0,11.570174904772411
1000CATUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
1000FLOKIUSDT,480,3.0,0.00987675,0.00987675,0.0002465000000000004,0.029630250000000004,0.029630250000000004,0.0007395000000000019,0.01,0.030000000000000002,4,4,0,100.0,0.00987675,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,40.06795131845832,11.419747571696725
1000LUNCUSDT,480,3.0,-0.00241775,0.010270749999999999,0.015427220907106588,-0.007253250000000003,0.030812250000000003,0.046281662721319776,0.025377,0.076131,4,3,1,75.0,0.005235333333333333,-0.025377,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 08:00:00+00:00,-0.025377,0.6657550353264697,-2.6127923900631123
1000MUMUUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,4,4,0,100.0,0.01,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.0,11.570174904772411
1000NEIROCTOUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
1000PEPEPERP,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,4,4,0,100.0,0.01,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.0,11.570174904772411
1000PEPEUSDT,480,3.0,0.006852250000000002,0.00814775,0.0062955,0.020556750000000002,0.02444325,0.0188865,0.01,0.030000000000000002,4,3,1,75.0,0.01,-0.002591,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,1.2942180922881423,7.791048011348223
1000RATSUSDT,240,6.0,0.0073785,0.0073785,0.0067274139162088135,0.044271,0.044271,0.04036448349725287,0.024028,0.144168,8,8,0,100.0,0.0073785,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 04:00:00+00:00,0.024028,1.0967810353132104,17.533520996529205
1000TOSHIUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
1000TURBOUSDT,240,6.0,0.004639375,0.004639375,0.001020001531861595,0.027836250000000007,0.027836250000000007,0.00612000919116957,0.005,0.030000000000000002,8,8,0,100.0,0.004639375,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,4.548400031843798,10.692751630133323
1000XECUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,4,4,0,100.0,0.01,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.0,11.570174904772411
1000XUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
1INCHUSDT,480,3.0,-0.008493750000000001,0.013829750000000002,0.01690973844416288,-0.025481249999999993,0.04148925,0.05072921533248864,0.028929,0.086787,4,2,2,50.0,0.0053360000000000005,-0.022323500000000003,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 08:00:00+00:00,-0.028929,0.8178571209523309,-8.882327838558822
A8USDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
AAVEPERP,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
AAVEUSDT,480,3.0,0.0028895,0.0038634999999999997,0.005106509864868569,0.0086685,0.0115905,0.015319529594605707,0.01,0.030000000000000002,4,3,1,75.0,0.004502,-0.001948,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 08:00:00+00:00,0.01,0.756583283345804,3.214447634745543
ACEUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
ACHUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
ACTUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
ACXUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
ADAUSDT,480,3.0,0.0077627500000000006,0.0077627500000000006,0.0032850666533065453,0.02328825,0.02328825,0.009855199959919637,0.01,0.030000000000000002,4,4,0,100.0,0.0077627500000000006,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,2.3630418555393677,8.870859246710872
AERGOUSDT,240,6.0,-0.0059995000000000005,0.02012125,0.037340086754815434,-0.035997,0.1207275,0.22404052052889256,0.095957,0.575742,8,6,2,75.0,0.009414500000000001,-0.0522415,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-16 00:00:00+00:00,-0.095957,0.538864575546417,-12.314418196513198
AEROUSDT,240,6.0,-0.004063375,0.012813375000000002,0.0256350956917465,-0.02438025000000001,0.07688025,0.15381057415047902,0.06750700000000001,0.40504200000000007,8,7,1,87.5,0.005000000000000001,-0.06750700000000001,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 08:00:00+00:00,-0.06750700000000001,0.49983722136545033,-8.515329384715075
AEVOPERP,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,4,4,0,100.0,0.01,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.0,11.570174904772411
AEVOUSDT,240,6.0,0.004633375,0.004633375,0.0010369720946100719,0.027800250000000002,0.027800250000000002,0.006221832567660433,0.005,0.030000000000000002,8,8,0,100.0,0.004633375,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.005,4.4681771323289725,10.678211602649723
AGIUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,4,4,0,100.0,0.01,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.0,11.570174904772411
AGLDUSDT,480,3.0,0.004558,0.0060374999999999995,0.006390822325804403,0.013673999999999999,0.018112499999999997,0.019172466977413212,0.01,0.030000000000000002,4,3,1,75.0,0.007063666666666666,-0.002959,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.9447141059801044,5.117300469947028
AI16ZUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
AIOZUSDT,480,3.0,-0.153644,0.153644,0.08988747294627136,-0.460932,0.460932,0.2696624188388141,0.241371,0.724113,4,0,4,0.0,0.0,-0.153644,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 08:00:00+00:00,-0.241371,1.7092926852203083,-81.47948445859281
AIUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
AIXBTUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
AKTUSDT,240,6.0,0.006943624999999999,0.006943624999999999,0.004664494764785816,0.041661750000000004,0.041661750000000004,0.027986968588714897,0.018326000000000002,0.10995600000000001,8,8,0,100.0,0.006943624999999999,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.018326000000000002,1.488612454326302,16.41994922796457
ALCHUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
ALEOUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,4,4,0,100.0,0.01,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.0,11.570174904772411
ALGOUSDT,480,3.0,-0.00219375,0.0071937500000000005,0.009059451064128187,-0.006581249999999999,0.021581250000000003,0.027178353192384562,0.011869000000000001,0.035607,4,1,3,25.0,0.01,-0.006258333333333333,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-16 00:00:00+00:00,-0.011869000000000001,0.7940602525559614,-2.373611290703437
ALICEUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,4,4,0,100.0,0.01,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.0,11.570174904772411
ALPHAUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
ALTUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
ALUUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
ANIMEUSDT,120,12.0,0.0023878124999999997,0.0023878124999999997,0.00044875,0.028653750000000002,0.028653750000000002,0.005385,0.0025,0.030000000000000002,16,16,0,100.0,0.0023878124999999997,0.0,2025-05-14 18:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 18:00:00+00:00,0.0025,5.321030640668524,11.023444688236438
ANKRUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,4,4,0,100.0,0.01,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.0,11.570174904772411
APEUSDT,480,3.0,0.00921825,0.00921825,0.0015635000000000002,0.02765475,0.02765475,0.004690500000000001,0.01,0.030000000000000002,4,4,0,100.0,0.00921825,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,5.89590661976335,10.619465061158673
API3USDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
APTUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,4,4,0,100.0,0.01,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.0,11.570174904772411
ARBPERP,480,3.0,0.004982250000000001,0.00537875,0.005826916644618604,0.01494675,0.01613625,0.01748074993385582,0.01,0.030000000000000002,4,3,1,75.0,0.006907333333333334,-0.0007930000000000001,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,0.9230868275707177,5.606692662209656
ARBUSDT,480,3.0,0.00522475,0.005786750000000001,0.004634395852391838,0.01567425,0.01736025,0.013903187557175511,0.01,0.030000000000000002,4,3,1,75.0,0.007341,-0.001124,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,1.2486525071036878,5.887447638677856
ARCUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,8,8,0,100.0,0.005,0.0,2025-05-14 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-14 20:00:00+00:00,0.005,0.0,11.570174904772411
ARKMUSDT,480,3.0,0.008738250000000001,0.008738250000000001,0.0025235,0.026214750000000002,0.026214750000000002,0.007570500000000001,0.01,0.030000000000000002,4,4,0,100.0,0.008738250000000001,0.0,2025-05-15 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 00:00:00+00:00,0.01,3.4627501486031305,10.039730180459582
